Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Feb  9 15:13 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/home/jay/Desktop/graduation_project/rtl/testbench.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
[DBG] cycle=0 pc=0x80000000
[DBG-T] t=2661000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2671000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2681000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2691000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2701000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2711000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2721000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2731000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2741000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2751000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2761000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2771000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2781000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2791000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2801000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2811000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2821000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2831000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2841000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2851000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2861000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2871000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2881000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2891000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2901000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2911000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2921000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2931000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2941000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2951000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2961000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2971000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2981000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=2991000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3001000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3011000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3021000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3031000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3041000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3051000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3061000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3071000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3081000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3091000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3101000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3111000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3121000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3131000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3141000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3151000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3161000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3171000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3181000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3191000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3201000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3211000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3221000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3231000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3241000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3251000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3261000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3271000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3281000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3291000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3301000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3311000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3321000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3331000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3341000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3351000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3361000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3371000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3381000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3391000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3401000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3411000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3421000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3431000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3441000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3451000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3461000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3471000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3481000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3491000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3501000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3511000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3521000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3531000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3541000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3551000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3561000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3571000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3581000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3591000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3601000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3611000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3621000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3631000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3641000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3651000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3661000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3671000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3681000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3691000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3701000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3711000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3721000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3731000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3741000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3751000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3761000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3771000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3781000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3791000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3801000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3811000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3821000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3831000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3841000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3851000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3861000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3871000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3881000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3891000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3901000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3911000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3921000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3931000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3941000 rst=0 pc=0xxxxxxxxx
[DBG-T] t=3951000 rst=0 pc=0xxxxxxxxx
